V	A
0	0.022836307
1	0.031414371
2	0.043072605
3	0.058794718
4	0.079777194
5	0.107393415
6	0.143083027
7	0.188133382
8	0.243340108
9	0.30858931
10	0.382490273
11	0.422256809
12	0.46400351
13	0.553446233
14	0.606763449
15	0.612763449
16	0.618763449
17	0.624763449
18	0.630763449
19	0.636763449
20	0.642763449
21	0.648763449
22	0.654763449
23	0.660763449
24	0.666763449
25	0.672763449
26	0.678763449
27	0.684763449
28	0.690763449
29	0.696763449
30	0.702763449
31	0.708763449
32	0.714763449
33	0.720763449
34	0.726763449
35	0.732763449
36	0.738763449
37	0.744763449
38	0.750763449
39	0.756763449
40	0.762763449
41	0.768763449
42	0.774763449
43	0.780763449
44	0.786763449
45	0.792763449
46	0.798763449
47	0.804763449
48	0.810763449
49	0.816763449
50	0.822763449
51	0.828763449
52	0.834763449
53	0.840763449
54	0.846763449
55	0.852763449
56	0.858763449
57	0.864763449
58	0.870763449
59	0.876763449
60	0.882763449
61	0.888763449
62	0.894763449
63	0.900763449
64	0.910763449
65	0.912763449
66	0.930763449
67	0.934763449
68	0.954763449
69	0.9764763449
70	0.99134763449
71	1.1
72	1.2
73	1.3
74	1.35
75	1.4
76	1.45763449
77	1.5
78	1.694763449
79	1.764763449
80	1.834763449
81	1.904763449
82	1.974763449
83	2.044763449
84	2.114763449
85	2.184763449
86	2.254763449
87	2.324763449
