E             sectionEfficaceMassique(cm2/g)		
1.000E-03			8.542E+03
1.031E-03			7.985E+03
1.062E-03			7.468E+03
1.062E-03			8.547E+03
1.099E-03			7.955E+03
1.137E-03			7.406E+03
1.137E-03			7.836E+03
1.212E-03			6.849E+03
1.293E-03			5.990E+03
1.293E-03			6.257E+03
1.500E-03			4.499E+03
2.000E-03			2.319E+03
3.000E-03			8.696E+02
4.000E-03			4.245E+02
5.000E-03			2.414E+02
5.247E-03			2.135E+02
5.247E-03			6.096E+02
5.432E-03			5.614E+02
5.624E-03			5.169E+02
5.624E-03			7.015E+02
5.803E-03			6.495E+02
5.989E-03			6.013E+02
5.989E-03			6.934E+02
6.000E-03			6.899E+02
8.000E-03			3.335E+02
1.000E-02			1.860E+02
1.500E-02			6.346E+01
2.000E-02			2.938E+01
3.000E-02			9.903E+00
3.744E-02			5.499E+00
3.744E-02			2.919E+01
4.000E-02			2.457E+01
5.000E-02			1.379E+01
6.000E-02			8.511E+00
8.000E-02			3.963E+00
1.000E-01			2.195E+00
1.500E-01			7.827E-01
2.000E-01			4.045E-01
3.000E-01			1.891E-01
4.000E-01			1.265E-01
5.000E-01			9.923E-02
6.000E-01			8.410E-02
8.000E-01			6.744E-02
1.000E+00			5.803E-02
1.022E+00			5.718E-02
1.250E+00			5.057E-02
1.500E+00			4.592E-02
2.000E+00			4.078E-02
2.044E+00			4.048E-02
3.000E+00			3.692E-02
4.000E+00			3.598E-02
5.000E+00			3.612E-02
